run_tag,gen,slot,baseline,reward,bankrupt
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,4,0,199.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,12,0,199.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,6,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,7,0,195.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,15,0,231.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,3,0,215.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,3,0,192.1,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,13,0,176.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,12,0,185.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,14,0,191.625,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,16,1,189.775,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,13,0,191.925,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,4,0,200.275,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,8,0,191.3,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,0,0,214.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,10,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,9,0,197.65,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,6,0,194.39999999999998,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,7,0,202.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,9,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,14,0,192.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,11,0,191.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,4,0,197.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,11,0,194.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,8,0,195.2,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,2,0,235.2,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,1,0,181.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,5,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,16,1,191.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,2,0,193.3,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,1,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,5,0,202.15,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,10,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,15,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,0,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,3,0,199.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,12,0,199.425,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,2,0,182.1,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,7,0,213.65000000000003,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,10,0,194.125,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,1,0,187.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,2,0,189.7,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,9,0,186.97500000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,7,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,10,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,16,1,200.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,15,0,192.525,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,14,0,190.525,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,13,0,188.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,9,0,186.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,8,0,188.625,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,4,0,187.325,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,1,0,197.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,11,0,193.875,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,4,0,198.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,12,0,192.1,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,11,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,3,0,186.70000000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,6,0,187.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,5,0,194.2,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,14,0,192.47500000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,13,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,16,1,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,3,0,194.1,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,6,0,195.425,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,5,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,12,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,0,0,203.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,6,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,15,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,0,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,8,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,9,0,199.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,6,0,193.375,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,15,0,190.79,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,3,0,194.35000000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,15,0,180.7,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,3,0,200.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,10,0,184.275,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,8,0,194.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,8,0,186.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,7,0,198.85,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,5,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,5,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,7,0,193.95,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,0,0,197.375,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,1,0,202.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,2,0,192.1,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,12,0,190.05,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,10,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,2,0,187.8,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,1,0,201.85,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,11,0,200.85,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,13,0,189.35,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,0,0,196.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,14,0,194.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,16,1,196.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,9,0,194.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,14,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,12,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,6,0,197.55,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,9,0,213.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,11,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,13,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,4,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,4,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,2,0,202.45000000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,16,1,186.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,13,0,176.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,2,0,194.275,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,1,0,181.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,13,0,194.275,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,1,0,197.925,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,8,0,190.55,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,0,0,186.55,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,7,0,195.45,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,0,0,201.675,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,7,0,190.075,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,8,0,194.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,10,0,193.55,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,14,0,190.8,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,16,1,198.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,5,0,198.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,3,0,187.325,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,3,0,190.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,5,0,186.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,12,0,227.47500000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,11,0,188.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,14,0,210.55,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,10,0,193.35,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,9,0,204.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,12,0,195.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,4,0,191.7,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,6,0,188.95000000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,6,0,190.125,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,9,0,189.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,4,0,191.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,16,1,190.025,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,15,0,194.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,2,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,15,0,186.9,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,9,0,194.575,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,9,0,199.35,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,1,11,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,7,0,192.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,2,0,181.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,4,0,187.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,7,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,12,0,200.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,4,0,222.425,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,8,0,195.59999999999997,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,16,1,191.35000000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,12,0,195.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,11,0,192.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,5,0,192.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,11,0,192.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,16,1,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,16,1,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,3,0,192.47500000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,8,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,13,0,181.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,15,0,191.3,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,10,0,189.825,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,6,0,198.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,3,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,15,0,186.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,13,0,199.7,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,10,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,1,0,199.75000000000003,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,15,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,0,0,191.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,6,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,0,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,5,0,203.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,1,0,208.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,14,0,192.47500000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,4,0,203.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,14,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,4,0,184.425,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,11,0,192.95,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,15,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,12,0,194.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,9,0,200.125,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,12,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,2,0,194.9,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,1,0,186.825,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,2,0,190.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,0,0,198.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,5,0,189.875,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,9,0,191.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,1,0,224.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,11,0,190.125,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,6,0,191.875,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,9,0,198.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,3,0,195.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,7,0,193.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,5,0,193.10000000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,7,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,16,1,193.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,16,1,193.05,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,6,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,11,0,198.375,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,14,0,191.35,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,12,0,198.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,13,0,186.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,13,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,10,0,192.7,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,14,0,191.975,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,0,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,10,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,3,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,13,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,8,0,197.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,8,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,2,13,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,14,0,190.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,6,0,202.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,14,0,194.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,9,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,0,0,194.95,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,12,0,193.175,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,0,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,16,1,190.45,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,0,0,196.9,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,3,0,197.8,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,3,0,182.9,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,10,0,224.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,3,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,16,1,195.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,1,0,192.95,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,4,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,11,0,187.47500000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,6,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,9,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,16,1,198.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,15,0,204.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,7,0,178.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,15,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,4,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,7,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,10,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,12,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,1,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,5,0,191.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,7,0,194.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,3,0,190.15,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,2,0,187.65,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,5,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,9,0,189.97500000000002,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,9,0,184.45,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,2,0,211.075,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,3,8,0,195.875,0
